Num,Title,Authors,Venue Abrev.,Venue,Field,Year,Preprocessing,Dimensionality Reduction,Quantitative Evaluation,Visualization,inaccuate,suboptimal,unstable,uninterpretable,unscalable,incomplete,irrefective,uninformed,Enhance reliability,Enhance awareness,Enhance Approchability,Improvements on DR,Improvements of Evaluation,Visualization Stage Solutions,DR framework,Visual Analytics System,Literature Review,Human-Centered Experiment,Computaional Experiment,FirstAuthor,BibIdentifier,FirstAuthorBib,Order,Group,GroupName,doi
12,Supervised nonlinear dimensionality reduction for visualization and classification,"X. Geng, D. C. Zhan, and Z. H. Zhou",TSMC,"IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)",Multidisciplinary,2005,,3,,,,,,,,3,,,3,,,3,,,,,,,,Geng et al.,geng05tsmc,Geng et al. \cite{geng05tsmc},10,3,Creator,10.1016/j.patcog.2013.07.022
24,Two-Stage Framework for Visualization of Clustered High Dimensional Data,"J. Choo, S. Bohn, and H. Park",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2009,,3,,,,3,,,,,,,3,,,,,,3,,,,,Choo et al.,choo09vast,Choo et al. \cite{choo09vast},11,3,Creator,10.1109/vast.2009.5332629
53,A Structure-Based Distance Metric for High-Dimensional Space Exploration with Multidimensional Scaling,J. H. Lee; K. T. McDonnell; A. Zelenyuk; D. Imre; K. Mueller,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2014,,3,,,,3,,,,,,,3,,,,,,3,,,,,Lee et al.,lee14tvcg,Lee et al. \cite{lee14tvcg},12,3,Creator,10.1109/tvcg.2013.101
94,SolarView: Low Distortion Radial Embedding with a Focus,T. Castermans; K. Verbeek; B. Speckmann; M. A. Westenberg; R. Koopman; S. Wang; H. van den Berg; A. Betti,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2019,,3,,,3,,,,,,,3,3,,,3,,,,,,,,Castermans et al.,castermans19tvcg,Castermans et al. \cite{castermans19tvcg},13,3,Creator,10.1109/tvcg.2018.2865361
46,Orthographic star coordinates,D. J. Lehmann and H. Theisel,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2013,,3,,,3,,,,,,,,3,,,3,,,,,,,,Lehmann and Theisel,lehmann13tvcg,Lehmann and Theisel \cite{lehmann13tvcg},14,3,Creator,10.1109/tvcg.2013.182
124,Uniform manifold approximation with two-phase optimization,"H. Jeon, H.-K. Ko, S. Lee, J. Jo, and J. Seo",VIS,IEEE Visualization Conference,Visualization and Visual Analytics,2022,,3,,,3,3,,,,,,,3,,,3,,,,,,,,Jeon et al.,jeon22vis,Jeon et al. \cite{jeon22vis},15,3,Creator,10.1109/vis54862.2022.00025
15,Dd-hds: A method for visualization and exploration of high-dimensional data,"S. Lespinats, M. Verleysen, A. Giron, and B. Fertil",TNN,IEEE Transactions on Neural Networks,Machine Learning and Artificial Intelligence,2007,,3,,,,3,,,3,,,,3,,,3,,,,,,,,Lespinats et al.,lespinats07tnn,Lespinats et al. \cite{lespinats07tnn},16,3,Creator,10.1109/tnn.2007.891682
98,RadViz++: Improvements on radial-based visualizations,L. d. C. Pagliosa and A. C. Telea,Informatics,"Informatics, 2019",Machine Learning and Artificial Intelligence,2019,,3,,,,,,,3,,,,3,,,3,,,,,,,,Pagliosa and Telea,pagliosa19informatics,Pagliosa and Telea \cite{pagliosa19informatics},17,3,Creator,10.3390/informatics6020016
115,Hct-sne: Hierarchical constraints with t-sne,"V. M. Vu, A. Bibal, and B. Frénay",IJCNN,2021 International Joint Conference on Neural Networks,Machine Learning and Artificial Intelligence,2021,,3,,,,3,,,,,3,,3,,,3,,,,,,,,Vu et al.,vu21ijcnn,Vu et al. \cite{vu21ijcnn},18,3,Creator,10.1109/ijcnn52387.2021.9534470
86,A perception-driven approach to supervised dimensionality reduction for visualization,"Y. Wang, K. Feng, X. Chu, J. Zhang, C.-W. Fu, M. Sedlmair, X. Yu, and B. Chen",TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2018,,3,,,,3,,,,,,,3,,,3,3,,,,,,,Wang et al.,wang18tvcg,Wang et al. \cite{wang18tvcg},19,3,Creator,10.1007/978-3-030-81026-9_6
69,Loch: A neighborhood-based multidimensional projection technique for highdimensional sparse spaces,"S. G. Fadel, F. M. Fatore, F. S. Duarte, and F. V. Paulovich",Neurocomp,Neurocomputing,Machine Learning and Artificial Intelligence,2015,,3,,,,3,3,,,,,,3,,,3,,,,,,,,Fadel et al.,fadel15neurocomp,Fadel et al. \cite{fadel15neurocomp},20,3,Creator,10.1016/j.neucom.2014.07.071
130,Class-Constrained t-SNE: Combining Data Features and Class Probabilities,L. Meng; S. van den Elzen; N. Pezzotti; A. Vilanova,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2024,,3,,,,3,,,,,,,3,,,3,,,,,,,,Meng et al.,meng24tvcg,Meng et al. \cite{meng24tvcg},21,3,Creator,10.1109/tvcg.2023.3326600/mm3
110,Spanning Trees as Approximation of Data Structures,D. Alcaide; J. Aerts,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2021,,3,,,,3,,,,,,,3,,,3,,,,,,,,Alcaide and Aerts,alcaide21tvcg,Alcaide and Aerts \cite{alcaide21tvcg},22,3,Creator,10.1007/978-3-540-77978-0_11
106,Density-preserving data visualization unveils dynamic patterns of single-cell transcriptomic variability,"A. Narayan, B. Berger, and H. Cho",bioRxiv,bioRxiv,Preprints,2020,,3,,,,3,,,,,,,3,,,3,,,,,,,,Narayan et al.,narayan20biorxiv,Narayan et al. \cite{narayan20biorxiv},23,3,Creator,10.1101/2020.05.12.077776
96,Class-aware t-SNE: cat-SNE,"C. de Bodt, D. Mulders, D. L. Sánchez, M. Verleysen, and J. A. Lee",ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",Visualization and Visual Analytics,2019,,3,,,,3,,,,,,,3,,,3,,,,,,,,De bodt et al.,debodt19esann,De bodt et al. \cite{debodt19esann},24,3,Creator,10.5270/esa-pmm029n
95,A new supervised t-sne with dissimilarity measure for effective data visualization and classification,"L. Hajderanj, I. Weheliye, and D. Chen",ICSIE,Proceedings of the 8th International Conference on Software and Information Engineering,Visualization and Visual Analytics,2019,,3,,,,3,,,,,,,3,,,3,,,,,,,,Hajderanj et al.,hajderanj19icsie,Hajderanj et al. \cite{hajderanj19icsie},25,3,Creator,10.1145/3328833.3328853
93,Shape-preserving Star Coordinates,V. Molchanov; L. Linsen,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2019,,3,,,,3,,,,,,,3,,,3,,,,,,,,Molchanov and Linsen,molchanov19tvcg,Molchanov and Linsen \cite{molchanov19tvcg},26,3,Creator,10.1109/pacificvis48177.2020.8199
8,Global versus local methods in nonlinear dimensionality reduction,V. de Silva and J. B. Tenenbaum,NeurIPS,Advances in Neural Information Processing Systems 15,Machine Learning and Artificial Intelligence,2002,,3,,,,3,,,,,,,3,,,3,,,,,,,,De silva and Tenenbaum,desilva02neurips,De silva and Tenenbaum \cite{desilva02neurips},27,3,Creator,10.1016/j.neucom.2009.01.006
7,Nonlinear dimensionality reduction by locally linear embedding,S. T. Roweis and L. K. Saul,Science,Science Magazine of the American Association for the Advancement of Science,Multidisciplinary,2000,,3,,,,3,,,,,,,3,,,3,,,,,,,,Roweis and Saul,roweis00science,Roweis and Saul \cite{roweis00science},28,3,Creator,10.1126/science.290.5500.2323
1,A projection pursuit algorithm for exploratory data analysis,J. H. Friedman and J. W. Tukey,TC,IEEE Transactions on Computers,Multidisciplinary,1974,,3,,,,3,,,,,,,3,,,3,,,,,,,,Friedman and Tukey,friedman74tc,Friedman and Tukey \cite{friedman74tc},29,3,Creator,10.32614/cran.package.cepp
5,A global geometric framework for nonlinear dimensionality reduction,"J. B. Tenenbaum, V. de Silva, and J. C. Langford",Science,Science Magazine of the American Association for the Advancement of Science,Multidisciplinary,2000,,3,,,,3,,,,,,,3,,,3,,,,,,,,Tenenbaum et al.,tenenbaum00science,Tenenbaum et al. \cite{tenenbaum00science},30,3,Creator,10.1126/science.290.5500.2319
26,Information retrieval perspective to nonlinear dimensionality reduction for data visualization,"J. Venna, J. Peltonen, K. Nybo, H. Aidos, and S. Kaski",jmlr,Journal of Machine Learning Research,Machine Learning and Artificial Intelligence,2010,,3,3,,,3,,,,,,,3,3,,3,,,,,,,,Venna et al.,venna10jmlr,Venna et al. \cite{venna10jmlr},31,3,Creator,10.1201/9781003190554-1
38,Shift-invariant similarities circumvent distance concentration in stochastic neighbor embedding and variants,J. A. Lee and M. Verleysen,PCS,Procedia Computer Science,Visualization and Visual Analytics,2011,,3,,,,3,,,3,,,,3,3,,3,,,,,3,,,Lee and Verleysen,lee11pcs,Lee and Verleysen \cite{lee11pcs},32,3,Creator,10.1016/j.procs.2011.04.056
105,Comparing and exploring high-dimensional data with dimensionality reduction algorithms and matrix visualizations,"R. Cutura, M. Aupetit, J.-D. Fekete, and M. Sedlmair",AVI,Proceedings of the International Conference on Advanced Visual Interfaces,Human-Computer Interaction,2020,,3,,3,,3,3,,3,,,,3,3,3,,,3,,,,,,Cutura et al.,cutura20avi,Cutura et al. \cite{cutura20avi},33,3,Creator,10.1145/3399715.3399875
36,Observation-level interaction with statistical models for visual analytics,"A. Endert, C. Han, D. Maiti, L. House, and C. North",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2011,,3,,3,,,,,,,3,,3,,3,,,3,,,,,,Endert et al.,endert11vast,Endert et al. \cite{endert11vast},34,3,Creator,10.1109/vast.2011.6102449
70,Visual exploration of high-dimensional data through subspace analysis and dynamic projections,"S. Liu, B. Wang, J. J. Thiagarajan, P.-T. Bremer, and V. Pascucci",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2015,,3,,3,,,,,3,3,,,3,,3,,,3,,,,,,Liu et al.,liu15cgf,Liu et al. \cite{liu15cgf},35,3,Creator,10.1111/cgf.12639
83,Pattern Trails: Visual analysis of pattern transitions in subspaces,"D. Jackle, M. Hund, M. Behrisch, D. A. Keim, and T. Schreck",VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2017,,3,,3,,,,,3,,,,3,,3,,,3,,,,,,Jackle et al.,jackle17vast,Jackle et al. \cite{jackle17vast},36,3,Creator,10.1109/vast.2017.8585613
85,Visual Exploration of Semantic Relationships in Neural Word Embeddings,S. Liu; P. -T. Bremer; J. J. Thiagarajan; V. Srikumar; B. Wang; Y. Livnat; V. Pascucci,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2018,,3,,3,,3,,,,3,,,3,,3,3,,,,3,,,,Liu et al.,liu18tvcg,Liu et al. \cite{liu18tvcg},37,3,Creator,10.33965/icwi2020_202012c020
108,Implicit Multidimensional Projection of Local Subspaces,R. Bian; Y. Xue; L. Zhou; J. Zhang; B. Chen; D. Weiskopf; Y. Wang,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2021,,3,,3,,3,,,,3,,,3,,,,,3,,,,,,Bian et al.,bian21tvcg,Bian et al. \cite{bian21tvcg},38,3,Creator,10.2172/5065610
66,Extending dimensions in RadViz based on mean shift,"F. Zhou, Wei Huang, Juncai Li, Yezi Huang, Yang Shi, and Ying Zhao",PacificVis,IEEE Pacific Visualization Symposium,Visualization and Visual Analytics,2015,,3,,,3,,3,,,,,,,,3,3,3,3,,,,,,Zhou et al.,zhou15pacificvis,Zhou et al. \cite{zhou15pacificvis},39,3,Creator,10.1109/pacificvis.2015.7156365
39,iLAMP: Exploring high-dimensional spacing through backward multidimensional projection,E. P. dos Santos Amorim; E. V. Brazil; J. Daniels; P. Joia; L. G. Nonato; M. C. Sousa,VAST,IEEE Symposium on Visual Analytics Science and Technology,Visualization and Visual Analytics,2012,,3,,3,,,,3,,,,,3,,3,3,,3,,,,,,Dos santos amorim et al.,dossantosamorim12vast,Dos santos amorim et al. \cite{dossantosamorim12vast},40,3,Creator,10.1109/vast.2012.6400489
